ABW	South America
ASM	Australia/Oceania
GIN	Africa
XPX	Asia
XKX	Asia
GUY	South America
XSX	Asia
XLX	Asia
XXG	Asia
HKG	Asia
XTU	Asia
HND	North America
HTI	North America
HMD	Antarctica
CIV	Africa
XAM	Asia
IRQ	Asia
JPN	Asia
IDN	Asia
IND	Asia
IOT	Asia
IRN	Asia
ISR	Asia
ITA	Europe
HRV	Europe
HUN	Europe
ISL	Europe
ARG	South America
UMI-84	Australia/Oceania
AUS	Australia/Oceania
KEN	Africa
LBR	Africa
LSO	Africa
LBY	Africa
MDG	Africa
MAC	Asia
JOR	Asia
KGZ	Asia
PRK	Asia
KOR	Asia
CXR	Asia
KWT	Asia
KAZ	Asia
LAO	Asia
LBN	Asia
AUT	Europe
LVA	Europe
LTU	Europe
XJA	Europe
JEY	Europe
LUX	Europe
SVK	Europe
LIE	Europe
IMN	Europe
MDA	Europe
AIA	North America
MTQ	North America
JAM	North America
UMI-95	Australia/Oceania
UMI-89	Australia/Oceania
KIR	Australia/Oceania
UMI-67	Australia/Oceania
MYT	Africa
MWI	Africa
MLI	Africa
MAR	Africa
MUS	Africa
MRT	Africa
MOZ	Africa
NER	Africa
NGA	Africa
BWA	Africa
RWA	Africa
SYC	Africa
ZAF	Africa
SEN	Africa
SHN	Africa
SLE	Africa
GNB	Africa
REU	Africa
QAT	Asia
SAU	Asia
PAK	Asia
NPL	Asia
XPP	Asia
PHL	Asia
RUS	Asia
BHR	Asia
OMN	Asia
MDV	Asia
XXK	Asia
MYS	Asia
MNG	Asia
MCO	Europe
MLT	Europe
ROU	Europe
PRT	Europe
NLD	Europe
NOR	Europe
POL	Europe
SVN	Europe
BEL	Europe
MKD	Europe
SPM	North America
KNA	North America
PAN	North America
BRB	North America
ATG	North America
BMU	North America
NIC	North America
PRI	North America
MSR	North America
MEX	North America
SUR	South America
PER	South America
PRY	South America
PCN	Australia/Oceania
MHL	Australia/Oceania
UMI-71	Australia/Oceania
PNG	Australia/Oceania
PLW	Australia/Oceania
NRU	Australia/Oceania
NZL	Australia/Oceania
VUT	Australia/Oceania
NCL	Australia/Oceania
NIU	Australia/Oceania
SOM	Africa
SDN	Africa
UGA	Africa
TGO	Africa
STP	Africa
TUN	Africa
TZA	Africa
CAF	Africa
BFA	Africa
NAM	Africa
SWZ	Africa
ZMB	Africa
ZWE	Africa
SSD	Africa
BEN	Africa
BDI	Africa
DZA	Africa
TCD	Africa
COG	Africa
COD	Africa
CMR	Africa
COM	Africa
CPV	Africa
DJI	Africa
EGY	Africa
GNQ	Africa
ERI	Africa
XAN	Africa
ETH	Africa
TLS	Asia
CCK	Asia
CHN	Asia
LKA	Asia
XXH	Asia
KHM	Asia
BRN	Asia
AFG	Asia
XSP	Asia
BTN	Asia
MMR	Asia
YEM	Asia
XXW	Asia
VNM	Asia
UZB	Asia
TUR	Asia
SGP	Asia
SYR	Asia
ARE	Asia
THA	Asia
TJK	Asia
BGD	Asia
TWN	Asia
TKM	Asia
CHE	Europe
SMR	Europe
ESP	Europe
XSV	Europe
SWE	Europe
UKR	Europe
GBR	Europe
BIH	Europe
MNE	Europe
SRB	Europe
BLR	Europe
BGR	Europe
VAT	Europe
AZE	Europe
ARM	Europe
EST	Europe
IRL	Europe
CYP	Europe
ALB	Europe
DNK	Europe
CZE	Europe
FIN	Europe
FRO	Europe
AND	Europe
DMA	North America
DOM	North America
SLV	North America
CYM	North America
BLM	North America
XCP	North America
CAN	North America
MAF	North America
SXM	North America
UMI-76	North America
BES	North America
BES	North America
VGB	North America
VIR	North America
USA	North America
CRI	North America
VCT	North America
CUB	North America
BLZ	North America
BHS	North America
LCA	North America
TTO	North America
TCA	North America
VEN	South America
URY	South America
BOL	South America
BES	South America
CUW	South America
BRA	South America
CHL	South America
ECU	South America
COL	South America
FLK	South America
GUF	South America
FJI	Australia/Oceania
FSM	Australia/Oceania
PYF	Australia/Oceania
UMI-81	Australia/Oceania
TUV	Australia/Oceania
UMI-86	Australia/Oceania
COK	Australia/Oceania
MNP	Australia/Oceania
SLB	Australia/Oceania
WLF	Australia/Oceania
UMI-79	Australia/Oceania
WSM	Australia/Oceania
TKL	Australia/Oceania
TON	Australia/Oceania
ATA	Antarctica
BVT	Antarctica
SGS	Antarctica
GMB	Africa
GAB	Africa
GHA	Africa
AGO	Africa
XXS	Asia
XXB	Asia
GRC	Europe
GGY	Europe
DEU	Europe
GIB	Europe
GEO	Europe
FRA	Europe
XKS	Europe
GRD	North America
GLP	North America
GRL	North America
GTM	North America
GUM	Australia/Oceania
ATF	Antarctica
